TxHash,To,From,TokenAmount,UsdAmount
0x0a833adb64c34e49ed49d2ba6d1c686b7098554e581fa2db6474358c723056d1,0x004375dff511095cc5a197a54140a24efef3a416,0x7224d1965f85572750a7bfb6845759de52a8b76a,"63.612803","$63.59"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"3.0028","$115720.59"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xc25099792e9349c7dd09759744ea681c7de2cb66,"3.0028","$115720.59"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0xc25099792e9349c7dd09759744ea681c7de2cb66,0x0000000000000000000000000000000000000000,"3.008413268198799501 ","na"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0xc25099792e9349c7dd09759744ea681c7de2cb66,"3.03244368","$117449.45"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0xc25099792e9349c7dd09759744ea681c7de2cb66,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"3.03244368","$117449.45"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"116,410.480552","$116446.59"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,"3.03244368","$117449.45"
0x689a643fa2aa564f34294ae315e72a77d8695f26133ef9e51a5e26fbd2b7ab1c,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x7224d1965f85572750a7bfb6845759de52a8b76a,"116,410.480552","$116446.59"
0x7186e0c21b0b3f5f6b7bb6008db5909275be1edbe14c4d68155eabe692498643,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x8daebade922df735c38c80c7ebd708af50815faa,"0",""
0x387eff8c43c5d4f36bc84b3b881f14ee5c7b03e248397d84e2c7ff06ad68e139,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x8daebade922df735c38c80c7ebd708af50815faa,"0",""
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"4.73643195","$183446.55"
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,"70.966496344905715116","$186089.65"
0x4eb291073cf79129a0489ceb98889fe86212d586395ddbcd287c818139a687c1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,"20.289355164803804382","$53203.12"
